Title,Keyword,개봉일(yyyymmdd)
머메이드: 죽음의 호수,머메이드 죽음의 호수,20190704
별의 정원,별의 정원,20190704
칠드런 액트,칠드런 액트,20190704
한낮의 피크닉,한낮의 피크닉,20190704
기방도령,기방도령,20190710
진범,영화 진범,20190710
극장판 엉덩이 탐정: 화려한 사건 수첩,엉덩이 탐정 화려한 사건 수첩,20190711
난폭한 기록,난폭한 기록,20190711
마리아 칼라스: 세기의 디바,마리아 칼라스 세기의 디바,20190711
우리는 언제나 성에 살았다,우리는 언제나 성에 살았다,20190711
조,영화 zoe,20190711
죽음을 거스른 사나이,죽음을 거스른 사나이,20190711
벤트: 마약의 도시,벤트 마약의 도시,20190712
나이트메어 시네마,나이트메어 시네마,20190717
라이온 킹,라이온킹 2019,20190717
사일런스,영화 사일런스,20190717
극장판 샤이닝스타:새로운 루나퀸의 탄생!,샤이닝스타 새로운 루나퀸의 탄생,20190718
꼬마 물고기 이자벨: 바다 대모험,꼬마 물고기 이자벨,20190718
발광하는 현대사,발광하는 현대사,20190718
수영장으로 간 남자들,수영장으로 간 남자들,20190718
이케아 옷장에서 시작된 특별난 여행,이케아 옷장에서 시작된 특별난 여행,20190718
인크레더블 손오공,인크레더블 손오공,20190718
상간녀 살인사건,상간녀 살인사건,20190723
나랏말싸미,영화 나랏말싸미,20190724
롱 샷,롱 샷,20190724
명탐정 코난: 감청의 권,명탐정 코난 감청의 권,20190724
굿바이 썸머,굿바이 썸머,20190725
그녀들을 도와줘,그녀들을 도와줘,20190725
돈 워리,돈 워리,20190725
레드슈즈,레드슈즈,20190725
매니페스토,영화 매니페스토,20190725
무간도 외전,무간도 외전,20190725
주전장,주전장,20190725
지구 최후의 밤,지구 최후의 밤,20190725
캘리포니아 타이프라이터,캘리포니아 타이프라이터,20190725
쿵푸몬스터: 무림괴수전,쿵푸몬스터 무림괴수전,20190725
파리 에듀케이션,파리 에듀케이션,20190725
데드 돈 다이,데드 돈 다이,20190731
마이펫의 이중생활 2,마이펫의 이중생활2,20190731
사자,영화 사자,20190731
엑시트,영화 엑시트,20190731
누구나 아는 비밀,누구나 아는 비밀,20190801
동경,영화 동경,20190801
알랭 뒤카스: 위대한 여정,알랭 뒤카스 위대한 여정,20190801
워파이터,영화 워파이터,20190801
도신 외전,도신 외전,20190805
봉오동 전투,봉오동 전투,20190807
앵그리 버드 2: 독수리 왕국의 침공,영화 앵그리버드 2,20190807
캐리tv 러브콘서트 더 무비,캐리tv 러브콘서트 더 무비,20190807
김복동,영화 김복동,20190808
나는 예수님이 싫다,나는 예수님이 싫다,20190808
앨리스 죽이기,앨리스 죽이기,20190808
호크니,영화 호크니,20190808
쥬,영화 쥬 2018,20190813
더 바이 바이 맨,더 바이 바이 맨,20190814
분노의 질주: 홉스&쇼,분노의 질주 홉스&쇼,20190814
"안녕, 티라노: 영원히, 함께",안녕 티라노,20190814
원더랜드,영화 원더랜드,20190814
인면어: 저주의 시작,인면어 저주의 시작,20190814
투모로우 2019: 지구 대 빙하기,투모로우 2019,20190814
밤의 문이 열린다,밤의 문이 열린다,20190815
사랑의 선물,영화 사랑의 선물,20190815
수상한 교수,수상한 교수,20190815
암전,영화 암전,20190815
이타미 준의 바다,이타미 준의 바다,20190815
지구 공룡 대탐험,지구 공룡 대탐험,20190815
딥 스페이스: 외계접촉,딥스페이스 외계접촉,20190816
메시지 맨,메시지 맨,20190819
광대들: 풍문조작단,광대들 풍문조작단,20190821
룩 어웨이,룩 어웨이,20190821
변신,영화 변신,20190821
블루스 인 인디아,블루스 인 인디아,20190821
감염: 지구 최후의 날,감염 지구 최후의 날,20190822
나만 없어 고양이,나만 없어 고양이,20190822
당나귀 공주,당나귀 공주,20190822
도심속의 방,도심속의 방,20190822
디터 람스,영화 디터람스,20190822
라라와 움직이는 비밀의 숲,라라와 움직이는 비밀의 숲,20190822
로슈포르의 숙녀들,로슈포르의 숙녀들,20190822
롤라,영화 롤라 2019,20190822
애프터,영화 애프터,20190822
우리집,영화 우리집,20190822
청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,20190822
커런트 워,커런트 워,20190822
건달티처,건달티처,20190826
47미터 2,47미터 2,20190828
동키 킹,동키 킹,20190828
블라인드 멜로디,블라인드 멜로디,20190828
안나,영화 안나,20190828
유열의 음악앨범,유열의 음악앨범,20190828
인비저블 위트니스,인비저블 위트니스,20190828
벌새,영화 벌새,20190829
불빛 아래서,영화 불빛 아래서,20190829
후로티로봇 극장판,후로티로봇 극장판,20190829
갈까부다,영화 갈까부다,20190901
고봉수 감독 단편선,고봉수 감독 단편선,20190901
9월의 사랑과 만날때까지,9월의 사랑과 만날때까지,20190904
그것: 두 번째 이야기,그것 두 번째 이야기,20190904
극장판 헬로카봇 : 달나라를 구해줘!,극장판 헬로카봇 달나라를 구해줘,20190904
틴 스피릿,틴 스피릿,20190904
갱스터 파라다이스,영화 갱스터 파라다이스,20190905
"동물, 원","영화 동물, 원",20190905
사이코패스,영화 사이코패스,20190905
아빠는 딸,영화 아빠는 딸,20190905
안녕 베일리,안녕 베일리,20190905
오만,오만,20190905
폭설,영화 폭설,20190905
침입자들,영화 침입자들,20190910
극장판 반지의 비밀일기,극장판 반지의 비밀일기,20190911
나쁜 녀석들: 더 무비,나쁜 녀석들 더 무비,20190911
오토의 클래식 음악여행,오토의 클래식 음악여행,20190911
지구 침공의 날 2019,지구 침공의 날 2019,20190911
타짜: 원 아이드 잭,타짜 원 아이드 잭,20190911
플레이모빌: 더 무비,플레이모빌 더 무비,20190911
"힘을 내요, 미스터 리",힘을 내요 미스터 리,20190911
100일동안 100가지로 100퍼센트 행복찾기,100일동안 100가지로 100퍼센트 행복찾기,20190912
파라노말 액티비티 2019,파라노말 액티비티 2019,20190917
예스터데이,영화 예스터데이,20190918
디스트로이어,디스트로이어,20190919
발명왕 볼트,발명왕 볼트,20190919
뷰티풀 보이,뷰티풀 보이,20190919
비뚤어진 집,비뚤어진 집,20190919
애드 아스트라,애드 아스트라,20190919
언더 더 실버레이크,언더 더 실버레이크,20190919
더 룸,영화 더 룸,20190925
레플리카,영화 레플리카,20190925
미드 90,미드 90,20190925
앳 퍼스트 라이트,앳 퍼스트 라이트,20190925
양자물리학,영화 양자물리학,20190925
원스 어폰 어 타임... 인 할리우드,원스 어폰 어 타임 인 할리우드,20190925
장사리: 잊혀진 영웅들,장사리 잊혀진 영웅들,20190925
CIA 데빌헌터,CIA 데빌헌터,20190926
마왕의 딸 이리샤,마왕의 딸 이리샤,20190926
메기,영화 메기,20190926
슈퍼 햄찌,슈퍼 햄찌,20190926
스페셜 솔져,스페셜 솔져,20190926
아워 바디,아워 바디,20190926
애월,영화 애월,20190926
와인스타인,와인스타인,20190926
체인지 오버,체인지 오버,20190926
헬로우 평양,헬로우 평양,20190926
가장 보통의 연애,가장 보통의 연애,20191002
소피와 드래곤: 마법책의 비밀,소피와 드래곤 마법책의 비밀,20191002
조커,영화 조커,20191002
테러 라이브: 싸이코패스,테러 라이브 싸이코패스,20191002
퍼펙트맨,퍼펙트맨,20191002
홍금보의 라이프타임 트레저,홍금보의 라이프타임 트레저,20191002
계절과 계절 사이,계절과 계절 사이,20191003
나의 노래는 멀리멀리,나의 노래는 멀리멀리,20191003
몬스터 하우스,몬스터 하우스 2019,20191003
미드소마,미드소마,20191003
오션스: 문어구출대작전,오션스 문어구출대작전,20191003
트루 시크릿,트루 시크릿,20191003
우주전쟁 2019,우주전쟁 2019,20191004
적인걸 5: 측천무후 지유명도,적인걸 5 측천무후 지유명도,20191008
디어 마이 프렌드,디어 마이 프렌드,20191009
수상한 이웃,수상한 이웃,20191009
잃어버린 세계를 찾아서,잃어버린 세계를 찾아서,20191009
제미니 맨,제미니 맨,20191009
쿵푸 보이,쿵푸 보이,20191009
판소리 복서,판소리 복서,20191009
여배우들의 티타임,여배우들의 티타임,20191010
여수 밤바다,영화 여수 밤바다,20191010
열두 번째 용의자,열두 번째 용의자,20191010
헤드헌터,영화 헤드헌터,20191010
첫잔처럼,첫잔처럼,20191011
너를 만난 여름,너를 만난 여름,20191016
버티고,영화 버티고,20191016
어벤져스 오브 저스티스,어벤져스 오브 저스티스,20191016
콘택트: 지구 최후의 날,콘택트 지구 최후의 날,20191016
고골: 악령과의 전쟁,고골 악령과의 전쟁,20191017
꼬마 자전거 스피디,꼬마 자전거 스피디,20191017
두번할까요,두번할까요,20191017
리메모리-기억추출,리메모리 기억추출,20191017
말레피센트 2,말레피센트 2,20191017
북간도의 십자가,북간도의 십자가,20191017
신문기자,영화 신문기자,20191017
오늘도 위위,오늘도 위위,20191017
와일드 로즈,영화 와일드 로즈,20191017
재혼의 기술,재혼의 기술,20191017
카르텔 2045,카르텔 2045,20191017
당문,영화 당문,20191021
82년생 김지영,82년생 김지영,20191023
람보: 라스트 워,람보 라스트워,20191023
빅트립: 아기팬더 배달 대모험,빅트립,20191023
체크 히어로,체크 히어로,20191023
경계선,영화 경계선,20191024
그 옛날 집,영화 그 옛날 집,20191024
버스데이 원더랜드,버스데이 원더랜드,20191024
스노우 화이트,스노우 화이트,20191024
시크릿 슈퍼스타,시크릿 슈퍼스타,20191024
워 이베이젼,워 이베이젼,20191024
퍼펙트 스트레인저,퍼펙트 스트레인저,20191024
날씨의 아이,날씨의 아이,20191030
니나 내나,영화 니나 내나,20191030
빅 2: 황금열쇠 대소동,빅 2 황금열쇠 대소동,20191030
빅 위시,빅 위시,20191030
사선의 끝,사선의 끝,20191030
엔젤 오브 마인,엔젤 오브 마인,20191030
쿠엔틴 타란티노 8,영화 쿠엔틴 타란티노,20191030
터미네이터: 다크 페이트,터미네이터 다크페이트,20191030
프렌드 존,프렌드 존,20191030
하이 라이프,영화 하이 라이프,20191030
"오늘, 우리",영화 오늘 우리,20191031
우먼 인 할리우드,우먼 인 할리우드,20191031
웰컴 투 스웨덴,웰컴 투 스웨덴,20191031
텔 잇 투 더 비즈,텔 잇 투 더 비즈,20191031
가족이 되기까지,영화 가족이 되기까지,20191101
레드 사이렌,영화 레드 사이렌,20191101
아직 지나지 않은 여름,아직 지나지 않은 여름,20191101
닥터 슬립,닥터 슬립,20191107
더 빌리지,영화 더 빌리지,20191107
몬스터,중국 영화 몬스터,20191107
신의 한 수: 귀수편,신의 한 수 귀수편,20191107
열여섯의 봄,열여섯의 봄,20191107
왓 데이 해드,왓 데이 해드,20191107
졸업,영화 졸업 2018,20191107
캔 유 킵 어 시크릿?,캔 유 킵 어 시크릿,20191107
타이페이 스토리,타이페이 스토리,20191107
패트와 매트: 우당탕탕 크리스마스,패트와 매트 우당탕탕 크리스마스,20191107
드레드아웃,영화 드레드 아웃,20191112
블랙 머니,블랙 머니,20191113
어쩌다 룸 메이트,어쩌다 룸메이트,20191113
엔젤 해즈 폴른,엔젤 해즈 폴른,20191113
좀비랜드: 더블 탭,좀비랜드 더블 탭,20191113
귀권,영화 귀권,20191114
늑대의 아이들,늑대의 아이들,20191114
대통령의 7시간,대통령의 7시간,20191114
더 컨덕터,더 컨덕터,20191114
마법안개의 비밀: 황금 보물선을 찾아라,마법 안개의 비밀,20191114
삽질,영화 삽질,20191114
심판,영화 심판,20191114
영하의 바람,영하의 바람,20191114
울프 특공대,울프 특공대,20191114
윤희에게,윤희에게,20191114
카메라를 멈추면 안 돼! 스핀오프: 할리우드 대작전,카메라를 멈추면 안돼 스핀오프 할리우드 대작전,20191114
캡티브 스테이트,캡티브 스테이트,20191114
헬로 몽키,헬로 몽키,20191114
알카트라즈: 죽음의 수용소,알카트라즈 죽음의 수용소,20191115
겨울왕국 2,겨울왕국 2,20191121
시빌,영화 시빌,20191121
아빠는 예쁘다,아빠는 예쁘다,20191121
어제 일은 모두 괜찮아,어제 일은 모두 괜찮아,20191121
얼굴없는 보스,얼굴없는 보스,20191121
접전: 갑을 전쟁,접전 갑을 전쟁,20191121
코끼리는 그곳에 있어,코끼리는 그곳에 있어,20191121
크리미널: 해튼가든,크리미널 해튼가든,20191121
프란치스코 교황: 맨 오브 히스 워드,프란치스코 교황 맨 오브 히스 워드,20191121
헤로니모,영화 헤로니모,20191121
해킹 헌터: 마인드 컨트롤,해킹 헌터 마인드 컨트롤,20191122
나를 찾아줘,나를 찾아줘,20191127
러브 앳,러브 앳,20191127
오피셜 시크릿,오피셜 시크릿,20191127
카센타,영화 카센타,20191127
크롤,영화 크롤,20191127
허슬러,영화 허슬러,20191127
녹차의 중력,녹차의 중력,20191128
대가리2:학교무림,대가리2 학교무림,20191128
분노는 말이 없다,분노는 말이 없다,20191128
삼촌,영화 삼촌,20191128
수퍼 디스코,수퍼 디스코,20191128
앵커,영화 앵커,20191128
어메이징 그레이스,영화 어메이징 그레이스,20191128
우리를 갈라놓는 것들,우리를 갈라놓는 것들,20191128
집 이야기,영화 집 이야기,20191128
행동하는 양심 김대중,행동하는 양심 김대중,20191128
싸움의 기술,싸움의 기술 2019,20191129
포레스트 헌터스 워,포레스트 헌터스 워,20191203
감쪽같은 그녀,감쪽같은 그녀,20191204
나이브스 아웃,나이브스 아웃,20191204
너의 여자친구,너의 여자친구,20191204
아직 사랑하고 있습니까?,아직 사랑하고 있습니까,20191204
굿 라이어,굿 라이어,20191205
극장판 타오르지마 버스터-블랙어썰트의 귀환,극장판 타오르지마 버스터,20191205
라스트 크리스마스,영화 라스트 크리스마스,20191205
어웨이크너: 히어로의 탄생,어웨이크너 히어로의 탄생,20191205
파비안느에 관한 진실,파비안느에 관한 진실,20191205
1944: 인간병기,1944 인간병기,20191206
스튜핏 영 하트,스튜핏 영 하트,20191209
매리,영화 매리,20191211
아내를 죽였다,아내를 죽였다,20191211
쥬만지: 넥스트 레벨,쥬만지 넥스트 레벨,20191211
1 더하기 3,1 더하기 3,20191212
10년,영화 10년,20191212
그날은 오리라,영화 그날은 오리라,20191212
더 보트,영화 더 보트,20191212
더 하우스,영화 더 하우스,20191212
드래곤 빌리지,영화 드래곤 빌리지,20191212
디아스포라의 노래: 아리랑로드,디아스포라의 노래 아리랑로드,20191212
디에고,영화 디에고,20191212
라 파미에,영화 라 파미에,20191212
라멘 덕후,영화 라멘 덕후,20191212
라스트 씬,영화 라스트 씬,20191212
사탄의 인형: 상속 받은 저주,사탄의 인형 상속 받은 저주,20191212
산타 앤 컴퍼니,산타 앤 컴퍼니,20191212
샐린저,영화 샐린저,20191212
속물들,영화 속물들,20191212
아스테릭스: 마법 물약의 비밀,아스테릭스 마법 물약의 비밀,20191212
영화로운 나날,영화로운 나날,20191212
월성,영화 월성,20191212
인투 더 애쉬,인투 더 애쉬,20191212
카운트 다운,영화 카운트 다운,20191212
깡패들,영화 깡패들,20191213
로빈: 살인자의 유혹,로빈 살인자의 유혹,20191216
할머니의 고양이 그리고 522걸음의 여행,할머니의 고양이 그리고 522걸음의 여행,20191217
시동,영화 시동,20191218
"미안해요, 리키",미안해요 리키,20191219
백두산,영화 백두산,20191219
블루 마이 마인드,블루 마이 마인드,20191219
신비아파트 극장판: 하늘도깨비 대 요르문간드,신비아파트 극장판: 하늘도깨비 대 요르문간드,20191219
탈출,영화 탈출,20191219
호흡,영화 호흡,20191219
공포의 묘지: 망자의 저주,공포의 묘지 망자의 저주,20191223
눈의 여왕4,눈의 여왕4,20191224
캣츠,영화 캣츠,20191224
프린스 코기,프린스 코기,20191224
와일드 라이프,영화 와일드 라이프,20191225
"고흐, 영원의 문에서",고흐 영원의 문에서,20191226
백두번째 구름,백두 번째 구름,20191226
천문: 하늘에 묻는다,천문 하늘에 묻는다,20191226
미드웨이,영화 미드웨이,20191231
